EQUIP;OPCO;SUBST;TRANSFORMER_BANK;LOWSIDE_VOLTAGE;CNR_MVA;CALC_PLBN_RATING;THERMAL_STUDY_RATING;LIMITING_ELEMENT;RATING_MVA;YEAR;SUMMER_PEAK_LOAD_MVA
100015733678;NYSEG;HAVILAND  HOLLOW 13.2KV;1-10/12.5 /14MVA,TRF;13.2;10.5;11.55;;;11.55;2011;9.44
100015734526;NYSEG;KATONAH;1-10/11.2 MVA LTC TR;13.2;0;0;;;0;2011;5.62
100015734485;NYSEG;KATONAH;1-10/13.4 MVA LTC TR;13.2;0;0;;;0;2011;2.36
100015731329;NYSEG;KENT  CLIFFS 4.8KV;3 - 2500/2800 MVA;4.8;10.5;11.55;;;11.55;2011;4.84
100015731331;NYSEG;KENT  CLIFFS 4.8KV;3 - 2500/2800 MVA;4.8;10.5;11.55;;;11.55;2011;4.84
100015731334;NYSEG;KENT  CLIFFS 4.8KV;3 - 2500/2800 MVA;4.8;10.5;11.55;;;11.55;2011;4.84
100015732220;NYSEG;KENT BANK #1 4.8KV;1 - 7.5/10.5MVA TRF;4.8;10.5;11.55;;;11.55;2011;5.84
100015732264;NYSEG;KENT BANK #2 13.2KV;1 - 5/5.6MVA    LTC;13.2;5.6;6.16;;;6.16;2011;3.08
100015732284;NYSEG;MOHANSIC BANK #2 13.2KV;1-15/20/25MVA   LTC;13.2;25;27.5;;;27.5;2011;13.25
100015732298;NYSEG;MOHANSIC BANK #4 13.2KV;1-15/20/25MVA   LTC;13.2;25;27.5;;;27.5;2011;13.87
100015732607;NYSEG;PAWLING  BANK #1 13.2KV;1-12/16/20MVA   LTC;13.2;22.48;24.72;;;24.72;2011;12.2
100015732572;NYSEG;PAWLING  BANK #2  4.8KV;3-2800 (8400KVA 3PH);4.8;9.5399999999999991;10.49;;;10.49;2011;3.07
100015732575;NYSEG;PAWLING  BANK #2  4.8KV;3-2800 (8400KVA 3PH);4.8;9.5399999999999991;10.49;;;10.49;2011;3.07
100015732578;NYSEG;PAWLING  BANK #2  4.8KV;3-2800 (8400KVA 3PH);4.8;9.5399999999999991;10.49;;;10.49;2011;3.07
100015732979;NYSEG;PEACH   LAKE #1  4.8KV;3-1917  (5751KVA 3PH;4.8;5.7;6.27;;;6.27;2011;3.7
100015732982;NYSEG;PEACH   LAKE #1  4.8KV;3-1917  (5751KVA 3PH;4.8;5.7;6.27;;;6.27;2011;3.7
